tag,description
Designing,Initiating and conceiving a work or a project 
Managing,Managing an activity
Collaborating,Collaborating on a work/project
Operating,"technician, Aiding in operating equipment"
Assisting,Assisting in project
Advising,Advising on matters of savety
Financing,"Producing activities, i.e Pepsi-Cola for the Pepsi Pavilion"
Maintaining,Technical intervention for preservation
Curating,Selecting activities
Exibiting
Publishing,"Publishing, i.e. ICC catalog"
Describing,Describing a work or a project
Commenting,"Commenting a work (criticizing, argumenting)"
