"tag","description"
"Planar Image","2D"
"Print",
"Relief","2D-3D"
"Construction/Assemblage","3D"
"Installation",
"Environment",
"Design",
"Process",
"Performance",
"Theater",
"Game",
"Concert",
"Residence","ou activity glossary ?"
"Dance",
"Music",
"Painting",
"Sculpture",
"Perceptual energy source","sensory stimuli generated in the work"
"Cinetic","Incorporates moving parts"
"Electronically"," photographically or holographically generated images"
"Reactive/Interactive","with spectator or environment"
"With people","people are essential to the work "
